url,version,category,resolveddate,spl,description
https://docs.splunk.com/Documentation/DBX/3.4.0/ReleaseNotes/Releasenotes,3.4.0,dbx,2020-06-17,DBX-4933,dbxlookup runs out of memory
https://docs.splunk.com/Documentation/DBX/3.4.0/ReleaseNotes/Releasenotes,3.4.0,dbx,2020-05-29,DBX-5030,"Customer encountered the error ""stderr: UnicodeDecodeError: 'utf8'"" on DBX version 3.3.0, but not on DBX version 3.1.4 when doing ""| dbxquery"""
https://docs.splunk.com/Documentation/DBX/3.4.0/ReleaseNotes/Releasenotes,3.4.0,dbx,2020-05-06,DBX-4988,Warnings of python.version on post Splunk 8
https://docs.splunk.com/Documentation/DBX/3.4.1/ReleaseNotes/Releasenotes,3.4.1,dbx,2020-11-09,DBX-5169,`dbxquery` could not parse column value containing Chinese Traditional text
https://docs.splunk.com/Documentation/DBX/3.4.1/ReleaseNotes/Releasenotes,3.4.1,dbx,2020-11-09,DBX-5233,`dbxquery` command in 3.4.0 stuck when running against Japanese column
https://docs.splunk.com/Documentation/DBX/3.4.1/ReleaseNotes/Releasenotes,3.4.1,dbx,2020-11-06,DBX-5237,dbxquery_bridge.py causing CLOSE_WAIT issues
https://docs.splunk.com/Documentation/DBX/3.4.1/ReleaseNotes/Releasenotes,3.4.1,dbx,2020-10-28,DBX-5188,"DB Connect does not handle usernames with email addresses: users cannot remove DB Connect connection - receives error: ""Splunkd error: HTTP 404 -- User does not exist"""
https://docs.splunk.com/Documentation/DBX/3.4.2/ReleaseNotes/Releasenotes,3.4.2,dbx,2021-01-14,DBX-5327,"Rising Column UI issue - Failing step 4 in ""Set SQL Query"" page"
https://docs.splunk.com/Documentation/DBX/3.4.2/ReleaseNotes/Releasenotes,3.4.2,dbx,2020-12-01,DBX-4968,DB Connect 3.2.0 checks for a uniqueKey parameter when using UPSERT when it does not need to
https://docs.splunk.com/Documentation/DBX/3.5.1/ReleaseNotes/Releasenotes,3.5.1,dbx,2021-04-12,DBX-5464,DBX 3.4.2 tail_rising_column in db_inputs.conf not updating values on change
https://docs.splunk.com/Documentation/DBX/3.5.1/ReleaseNotes/Releasenotes,3.5.1,dbx,2021-04-07,DBX-5155,Customer gets 'visualization not found' error when running queries in the SQL editor
https://docs.splunk.com/Documentation/DBX/3.6.0/ReleaseNotes/Releasenotes,3.6.0,dbx,2021-06-16,DBX-5562,Issue creating input using DB connect(3.5.1) with MySQL(8.0.x)
https://docs.splunk.com/Documentation/DBX/3.6.0/ReleaseNotes/Releasenotes,3.6.0,dbx,2021-06-03,DBX-5548,typo in dbx_app_migration.py causes issues with migration of inputs (DB_INPUTS_ALLOWED_LIST_3_0 // DB_INPUT_ALLOWED_LIST_3_0)
https://docs.splunk.com/Documentation/DBX/3.6.0/ReleaseNotes/Releasenotes,3.6.0,dbx,2021-05-27,DBX-5387,Rising column fails in UI for step 4 of rising column input creation
https://docs.splunk.com/Documentation/DBX/3.6.0/ReleaseNotes/Releasenotes,3.6.0,dbx,2021-05-12,DBX-5515,Change the port from the default 9999 for dbxquery server break it to not functions with error (Failed attempting to parse transport header: HTTP/1.1 400 HTTP/0.9 not supported\r) in search.log.
https://docs.splunk.com/Documentation/DBX/3.7.0/ReleaseNotes/Releasenotes,3.7.0,dbx,2021-09-23,DBX-5606,"After DBX upgrade to version 3.6.0, all identities are shown as CyberArk identities on HFs"
